STEM_ID,SITE,YEAR,RUN,RANGE,PAP,BLOCK,RUNPAIR,SET,GENOTYPE,TRIAL,GEN,yield,biomass,sample_weight,grain_g,harvest_index
ST50PKT0WDLV,York,2018,10,3,0 kg P,1,5,BT 4-Way MAGIC,CAV4081228,York_2018,CAV4081228,0.977214377,5.1,63.89,22.1,0.345907028
ST50PKT0WDLQ,York,2018,10,7,0 kg P,1,5,BT 4-Way MAGIC,CAV4080949,York_2018,CAV4080949,2.604300385,13.79,187.87,43.9,0.23367222
ST50PKT0WDLN,York,2018,10,9,0 kg P,1,5,BT 4-Way MAGIC,CAV4081493,York_2018,CAV4081493,2.153401797,8.17,179.11,65.7,0.36681369
ST50PKT0WDLL,York,2018,10,11,0 kg P,1,5,BT 4-Way MAGIC,CAV4081035,York_2018,CAV4081035,2.008985879,7.43,136.02,50.1,0.368328187
ST50PKT0WDLK,York,2018,10,12,0 kg P,1,5,BT 4-Way MAGIC,CAV4080962,York_2018,CAV4080962,0.689144737,8.15,116.84,35.3,0.302122561
ST50PKT0WDLC,York,2018,11,4,0 kg P,1,6,BT 4-Way MAGIC,CAV4080669,York_2018,CAV4080669,1.864035088,8.88,110.71,37.9,0.342335832
ST50PKT0WDL9,York,2018,11,6,0 kg P,1,6,BT 4-Way MAGIC,CAV4080544,York_2018,CAV4080544,1.708921694,8.24,120.33,45.4,0.37729577
ST50PKT0WDL8,York,2018,11,7,0 kg P,1,6,BT 4-Way MAGIC,CAV4080945,York_2018,CAV4080945,2.666880616,12.58,205.6,66.7,0.324416342
ST50PKT0WDL7,York,2018,11,8,0 kg P,1,6,BT 4-Way MAGIC,CAV4081259,York_2018,CAV4081259,3.007271468,10.6,191.43,79.4,0.414773024
ST50PKT0WDL5,York,2018,11,10,0 kg P,1,6,BT 4-Way MAGIC,CAV4081274,York_2018,CAV4081274,1.023026316,5.92,81.1,31.1,0.383477189
ST50PKT0WDL4,York,2018,11,11,0 kg P,1,6,BT 4-Way MAGIC,CAV4081306,York_2018,CAV4081306,1.745827985,7.11,77.79,26.9,0.345802802
ST50PKT0WDKZ,York,2018,12,2,30 kg P,1,6,BT 4-Way MAGIC,CAV4080589,York_2018,CAV4080589,4.859986505,15.81,303.34,115,0.379112547
ST50PKT0WDKW,York,2018,12,5,30 kg P,1,6,BT 4-Way MAGIC,CAV4081302,York_2018,CAV4081302,4.213659148,16.2,348.19,113.3,0.325397053
ST50PKT0WDKR,York,2018,12,9,30 kg P,1,6,BT 4-Way MAGIC,CAV4080583,York_2018,CAV4080583,4.024390244,11.27,276.47,89.9,0.325170905
ST50PKT0WDKQ,York,2018,12,10,30 kg P,1,6,BT 4-Way MAGIC,CAV4081274,York_2018,CAV4081274,3.105263158,12.06,208.6,83.4,0.399808245
ST50PKT0WDKP,York,2018,12,11,30 kg P,1,6,BT 4-Way MAGIC,CAV4081306,York_2018,CAV4081306,3.721116816,15.54,322,117.8,0.365838509
ST50PKT0WDKN,York,2018,12,12,30 kg P,1,6,BT 4-Way MAGIC,CAV4081312,York_2018,CAV4081312,4.120065789,11.07,284.08,123.8,0.435792734
ST50PKT0WDNN,York,2018,13,5,30 kg P,1,7,BT 4-Way MAGIC,CAV4081176,York_2018,CAV4081176,4.003759398,15.29,358.81,121.8,0.339455422
ST50PKT0WDNM,York,2018,13,6,30 kg P,1,7,BT 4-Way MAGIC,CAV4080531,York_2018,CAV4080531,3.672978177,10.96,303.88,98.7,0.324799263
