SCANNING_CODE,P Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Se Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Mo Concentration,Ag Concentration,Cd Concentration,Sn Concentration,Sb Concentration,Ba Concentration,La Concentration,Ce Concentration,Pr Concentration,Nd Concentration,Ta Concentration,W Concentration,Hg Concentration,Pb Concentration,Bi Concentration,Th Concentration,U Concentration,P Error1s,S Error1s,K Error1s,Ca Error1s,Ti Error1s,V Error1s,Cr Error1s,Mn Error1s,Fe Error1s,Co Error1s,Ni Error1s,Cu Error1s,Zn Error1s,As Error1s,Se Error1s,Rb Error1s,Sr Error1s,Y Error1s,Zr Error1s,Nb Error1s,Mo Error1s,Ag Error1s,Cd Error1s,Sn Error1s,Sb Error1s,Ba Error1s,La Error1s,Ce Error1s,Pr Error1s,Nd Error1s,Ta Error1s,W Error1s,Hg Error1s,Pb Error1s,Bi Error1s,Th Error1s,U Error1s
Aug 22-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aug 22-2,2,-14,6,-10,3,1,0,1,8,0,1,1,0,-1,0,0,1,-1,-1,0,-1,2,-1,-5,4,4,-17,-38,-41,161,-6,1,1,0,0,1,0,113,21,9,3,1,0,1,1,3,2,1,1,1,0,0,0,1,1,1,1,1,1,1,3,3,8,19,39,50,111,6,2,1,1,1,2,2
Aug 22-3,1454,1282,26873,24498,2997,90,62,688,27880,-49,26,132,417,116,2,123,234,29,267,19,10,6,51,12,27,536,34,164,-389,-194,17,10,9,1409,0,10,3,470,75,125,102,17,2,2,5,101,17,2,3,4,5,1,1,5,3,5,1,2,2,2,4,4,13,23,47,62,135,11,3,2,7,2,3,3
Aug 22-4,402,1194,22079,3310,63,8,18,161,282,-16,-6,-3,2,-2,-3,14,100,-1,0,0,-1,0,-4,-26,-1,107,11,4,-209,-315,-3,-10,-4,1,-39,3,-4,158,39,76,20,2,0,1,2,6,2,1,1,1,0,0,0,5,2,2,1,3,2,3,6,6,15,30,61,77,166,14,1,1,1,2,4,4
Aug 22-5,433,1494,30280,3208,40,5,17,131,285,-15,-3,-1,-1,-3,-2,15,57,-1,-1,1,-1,-4,1,-33,2,120,-10,11,-76,-94,6,-9,-3,3,-40,-4,0,171,45,101,22,1,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,33,66,84,183,16,1,1,1,2,4,4
Aug 22-6,659,1269,26163,4232,49,7,21,259,237,-15,-4,-3,0,-2,-3,19,57,-2,1,1,5,-1,-3,-22,6,134,-9,8,-160,-408,32,-8,-4,2,-42,-6,-6,187,44,93,25,2,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,4,3,3,6,7,17,34,68,87,188,18,1,1,1,2,4,4
Aug 22-7,334,1482,37690,3395,18,2,5,93,83,-12,-7,0,12,-1,-2,30,35,-2,0,1,5,-3,-4,-26,1,69,-26,-56,-114,-109,-1,-9,-3,1,-32,-5,-3,175,45,120,23,1,0,1,1,4,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,31,61,79,168,14,1,1,1,2,4,4
Aug 22-8,430,833,28444,1896,34,6,10,162,142,-15,-5,-3,-1,-2,-2,13,41,0,2,1,0,-3,0,-23,-12,96,-26,15,-47,-183,41,-9,-6,2,-37,-1,2,156,36,96,18,1,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,32,65,83,178,17,1,1,1,2,4,4
Aug 22-9,838,1216,29736,2766,43,5,18,164,302,-13,-5,-1,1,-3,-3,16,39,4,-3,1,-5,-1,4,-20,-1,133,-42,7,-273,78,-3,-11,-3,3,-42,-1,12,177,42,100,21,1,0,1,2,6,2,1,1,1,0,0,0,4,2,2,2,3,3,3,6,6,17,34,68,86,185,16,1,1,1,2,4,5
Aug 22-10,615,910,23339,3221,47,7,20,120,255,-13,-6,-2,1,-3,-3,14,56,-1,-3,-1,4,3,5,-21,7,145,-1,42,-172,-9,23,-9,-4,3,-44,2,0,168,37,82,21,1,0,1,1,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,33,65,85,182,17,1,1,1,2,4,4
