TRUNC_ID,GENPRINT,SCANNING_CODE,STEM_ID,SUBSAMPLE_ID,SUBSAMPLE,Remarks
0109J4,1442,Aug 22-4,ST50PKT0WD9S,ST50GEN0109J4,Straw,NA
0108QH,777,Aug 22-5,ST50PKT0WCYG,ST50GEN0108QH,Straw,NA
0108Z5,1233,Aug 22-6,ST50PKT0WD1B,ST50GEN0108Z5,Straw,NA
0107RM,976,Aug 22-7,ST50PKT0WCD2,ST50GEN0107RM,Straw,NA
01078X,1051,Aug 22-8,ST50PKT0WC08,ST50GEN01078X,Straw,NA
0109VD,1302,Aug 22-9,ST50PKT0WDKW,ST50GEN0109VD,Straw,NA
0108WL,1232,Aug 22-10,ST50PKT0WCZV,ST50GEN0108WL,Straw,NA
0108N7,1443,Aug 22-11,ST50PKT0WCR1,ST50GEN0108N7,Straw,NA
0108X7,1148,Aug 22-12,ST50PKT0WD07,ST50GEN0108X7,Straw,NA
01079P,1051,Aug 22-13,ST50PKT0WC0Q,ST50GEN01079P,Straw,NA
01088K,430,Aug 22-14,ST50PKT0WCLS,ST50GEN01088K,Straw,NA
0107GZ,258,Aug 22-15,ST50PKT0WC0Y,ST50GEN0107GZ,Straw,NA
0108QK,1165,Aug 22-16,ST50PKT0WCYH,ST50GEN0108QK,Straw,NA
01077W,806,Aug 22-17,ST50PKT0WC4G,ST50GEN01077W,Straw,NA
01079C,258,Aug 22-18,ST50PKT0WC0H,ST50GEN01079C,Straw,NA
0108GR,496,Aug 22-19,ST50PKT0WCSY,ST50GEN0108GR,Straw,NA
0108XM,M75-28,Aug 22-20,ST50PKT0WD0F,ST50GEN0108XM,Straw,NA
0109S8,962,Aug 22-21,ST50PKT0WDLK,ST50GEN0109S8,Straw,NA
0108JC,1547,Aug 22-22,ST50PKT0WCRL,ST50GEN0108JC,Straw,NA
01077P,789,Aug 22-23,ST50PKT0WC4C,ST50GEN01077P,Straw,NA
01077Y,M76-79,Aug 22-24,ST50PKT0WC4H,ST50GEN01077Y,Straw,NA
010784,742,Aug 22-25,ST50PKT0WC4N,ST50GEN010784,Straw,NA
01078D,1192,Aug 22-26,ST50PKT0WC4S,ST50GEN01078D,Straw,NA
0108FZ,496,Aug 22-27,ST50PKT0WCSH,ST50GEN0108FZ,Straw,NA
0108NR,1255,Aug 22-28,ST50PKT0WCRC,ST50GEN0108NR,Straw,NA
01098B,1633,Aug 22-29,ST50PKT0WDBV,ST50GEN01098B,Straw,NA
0108FJ,464,Aug 22-30,ST50PKT0WCWH,ST50GEN0108FJ,Straw,NA
01092J,WESTONIA,Aug 22-32,ST50PKT0WD7R,ST50GEN01092J,Straw,NA
01092N,828,Aug 22-33,ST50PKT0WD9F,ST50GEN01092N,Straw,NA
0109JV,1018,Aug 22-34,ST50PKT0WDB4,ST50GEN0109JV,Straw,NA
0109J0,219,Aug 22-35,ST50PKT0WD9N,ST50GEN0109J0,Straw,NA
0108J5,1443,Aug 22-36,ST50PKT0WCRH,ST50GEN0108J5,Straw,NA
0108NH,787,Aug 22-37,ST50PKT0WCR5,ST50GEN0108NH,Straw,NA
0108G9,464,Aug 22-38,ST50PKT0WCSQ,ST50GEN0108G9,Straw,NA
0108N1,839,Aug 22-39,ST50PKT0WCQY,ST50GEN0108N1,Straw,NA
0108YQ,982,Aug 22-40,ST50PKT0WD11,ST50GEN0108YQ,Straw,NA
0108G1,427,Aug 22-41,ST50PKT0WCSJ,ST50GEN0108G1,Straw,NA
0108FX,1262,Aug 22-42,ST50PKT0WCSG,ST50GEN0108FX,Straw,NA
0109K5,1072,Aug 22-43,ST50PKT0WDBC,ST50GEN0109K5,Straw,NA
0108GM,1646,Aug 22-44,ST50PKT0WCSW,ST50GEN0108GM,Straw,NA
0109JL,177,Aug 22-45,ST50PKT0WDB0,ST50GEN0109JL,Straw,NA
01092S,253,Aug 22-46,ST50PKT0WD9H,ST50GEN01092S,Straw,NA
0108GH,1201,Aug 22-47,ST50PKT0WCST,ST50GEN0108GH,Straw,NA
0109K1,886,Aug 22-48,ST50PKT0WDB9,ST50GEN0109K1,Straw,NA
0108GK,434,Aug 22-49,ST50PKT0WCSV,ST50GEN0108GK,Straw,NA
0108Y4,588,Aug 22-50,ST50PKT0WD0R,ST50GEN0108Y4,Straw,NA
0109HW,1064,Aug 22-51,ST50PKT0WD9L,ST50GEN0109HW,Straw,NA
0108FL,1260,Aug 22-52,ST50PKT0WCS9,ST50GEN0108FL,Straw,NA
0108NM,532,Aug 22-53,ST50PKT0WCR9,ST50GEN0108NM,Straw,NA
01092G,1442,Aug 22-54,ST50PKT0WD7Q,ST50GEN01092G,Straw,NA
0108GF,1217,Aug 22-55,ST50PKT0WCSS,ST50GEN0108GF,Straw,NA
0109KC,1500,Aug 22-56,ST50PKT0WDBG,ST50GEN0109KC,Straw,NA
01098Q,349,Aug 22-57,ST50PKT0WD7T,ST50GEN01098Q,Straw,NA
0108MX,1528,Aug 22-58,ST50PKT0WCQW,ST50GEN0108MX,Straw,NA
