reading_id,PConcentration,P_Error1s
2019-08-22-001,NA,NA
2019-08-22-002,2,113
2019-08-22-003,1454,470
2019-08-22-004,402,158
2019-08-22-005,433,171
2019-08-22-006,659,187
2019-08-22-007,334,175
2019-08-22-008,430,156
2019-08-22-009,838,177
2019-08-22-010,615,168
2019-08-22-011,666,158
2019-08-22-012,3569,221
2019-08-22-013,513,165
2019-08-22-014,347,176
2019-08-22-015,368,176
2019-08-22-016,1176,170
2019-08-22-017,597,172
2019-08-22-018,707,160
2019-08-22-019,599,156
2019-08-22-020,615,175
2019-08-22-021,411,158
2019-08-22-022,442,187
2019-08-22-023,611,173
2019-08-22-024,430,162
2019-08-22-025,495,150
2019-08-22-026,-32,141
2019-08-22-027,897,175
2019-08-22-028,785,174
2019-08-22-029,314,171
2019-08-22-030,574,162
2019-08-22-031,2151,480
2019-08-22-032,535,162
2019-08-22-033,771,160
2019-08-22-034,440,156
2019-08-22-035,656,161
2019-08-22-036,395,156
2019-08-22-037,321,186
2019-08-22-038,878,170
2019-08-22-039,1310,182
2019-08-22-040,283,156
2019-08-22-041,591,175
2019-08-22-042,206,158
2019-08-22-043,615,174
2019-08-22-044,467,178
2019-08-22-045,392,158
2019-08-22-046,691,173
2019-08-22-047,692,151
2019-08-22-048,198,137
2019-08-22-049,159,153
2019-08-22-050,198,155
2019-08-22-051,800,166
2019-08-22-052,244,158
2019-08-22-053,718,167
2019-08-22-054,337,156
2019-08-22-055,278,149
2019-08-22-056,75,130
2019-08-22-057,208,140
2019-08-22-058,903,170
2019-08-22-059,417,154
2019-08-22-060,344,163
2019-08-22-061,621,172
2019-08-22-062,371,149
2019-08-22-063,386,151
2019-08-22-064,524,148
2019-08-22-065,252,152
2019-08-22-066,247,152
2019-08-22-067,2553,476
2019-08-22-068,2140,476
2019-08-22-069,436,152
2019-08-22-070,402,154
2019-08-22-071,274,144
2019-08-22-072,210,152
2019-08-22-073,655,162
2019-08-22-074,502,175
2019-08-22-075,417,161
2019-08-22-076,502,165
2019-08-22-077,670,181
2019-08-22-078,362,149
2019-08-22-079,643,166
2019-08-22-080,258,159
2019-08-22-081,720,175
2019-08-22-082,743,174
2019-08-22-083,520,164
2019-08-22-084,149,145
2019-08-22-085,594,166
2019-08-22-086,366,165
2019-08-22-087,478,158
2019-08-22-088,661,163
2019-08-22-089,989,459
2019-08-22-090,419,173
2019-08-22-091,331,149
2019-08-22-092,534,161
2019-08-22-093,728,180
2019-08-22-094,538,169
2019-08-22-095,260,146
2019-08-22-096,1487,204
2019-08-22-097,770,174
2019-08-22-098,485,171
2019-08-22-099,800,173
2019-08-22-100,64,145
2019-08-22-101,594,160
2019-08-22-102,482,169
2019-08-22-103,490,163
2019-08-22-104,409,144
2019-08-22-105,597,185
2019-08-22-106,287,138
2019-08-22-107,231,130
2019-08-22-108,238,157
2019-08-22-109,345,157
2019-08-22-110,991,189
2019-08-22-111,552,156
2019-08-22-112,382,150
2019-08-22-113,158,161
2019-08-22-114,218,149
2019-08-22-115,2766,479
2019-08-23-001,NA,NA
2019-08-23-002,106,117
2019-08-23-003,1519,473
2019-08-23-004,795,159
2019-08-23-005,508,151
2019-08-23-006,407,150
2019-08-23-007,433,155
2019-08-23-008,486,155
2019-08-23-009,750,197
2019-08-23-010,336,167
2019-08-23-011,1050,177
2019-08-23-012,393,146
2019-08-23-013,590,165
2019-08-23-014,846,167
2019-08-23-015,983,182
2019-08-23-016,83,149
2019-08-23-017,723,173
2019-08-23-018,740,182
2019-08-23-019,571,157
2019-08-23-020,226,157
2019-08-23-021,817,187
2019-08-23-022,274,156
2019-08-23-023,205,175
2019-08-23-024,816,184
2019-08-23-025,516,164
2019-08-23-026,300,172
2019-08-23-027,306,145
2019-08-23-028,242,146
2019-08-23-029,430,165
2019-08-23-030,120,155
2019-08-23-031,541,170
2019-08-23-032,253,148
2019-08-23-033,603,179
2019-08-23-034,1229,467
2019-08-23-035,441,182
2019-08-23-036,305,153
2019-08-23-037,288,171
2019-08-23-038,663,173
2019-08-23-039,876,173
2019-08-23-040,591,162
2019-08-23-041,202,141
2019-08-23-042,571,177
2019-08-23-043,711,189
2019-08-23-044,368,166
2019-08-23-045,71,150
2019-08-23-046,256,158
2019-08-23-047,936,176
2019-08-23-048,451,165
2019-08-23-049,677,169
2019-08-23-050,1007,175
2019-08-23-051,526,172
2019-08-23-052,900,168
2019-08-23-053,588,150
2019-08-23-054,653,169
2019-08-23-055,1211,459
2019-08-26-001,NA,NA
2019-08-26-002,142,119
2019-08-26-003,1874,475
2019-08-26-004,525,150
2019-08-26-005,739,171
2019-08-26-006,764,174
2019-08-26-007,803,166
2019-08-26-008,832,183
2019-08-26-009,379,160
2019-08-26-010,508,145
2019-08-26-011,395,157
2019-08-26-012,404,153
2019-08-26-013,367,170
2019-08-26-014,177,151
2019-08-26-015,249,164
2019-08-26-016,1410,191
2019-08-26-017,738,161
2019-08-26-018,1045,186
2019-08-26-019,662,158
2019-08-26-020,710,181
2019-08-26-021,760,195
2019-08-26-022,473,158
2019-08-26-023,549,157
2019-08-26-024,257,157
2019-08-26-025,66,150
2019-08-26-026,443,153
2019-08-26-027,477,161
2019-08-26-028,1555,221
2019-08-26-029,509,144
2019-08-26-030,2114,479
2019-08-26-031,905,201
2019-08-26-032,316,182
2019-08-26-033,2285,228
2019-08-26-034,412,145
2019-08-26-035,674,175
2019-08-26-036,729,180
2019-08-26-037,35,163
2019-08-26-038,881,165
2019-08-26-039,781,193
2019-08-26-040,766,174
2019-08-26-041,464,161
2019-08-26-042,427,146
2019-08-26-043,861,199
2019-08-26-044,701,162
2019-08-26-045,947,190
2019-08-26-046,324,153
2019-08-26-047,981,200
2019-08-26-048,1923,474
2019-08-26-049,3102,125
2019-08-26-050,2252,111
2019-08-26-051,2807,120
2019-08-26-052,2489,115
2019-08-26-053,3044,124
2019-08-26-054,3159,124
2019-08-26-055,2088,109
2019-08-26-056,2340,113
2019-08-26-057,2854,120
2019-08-26-058,2787,121
2019-08-26-059,3179,127
2019-08-26-060,3339,128
2019-08-26-061,3109,126
2019-08-26-062,3453,128
2019-08-26-063,2444,480
2019-08-26-064,2927,122
2019-08-26-065,4527,145
2019-08-26-066,2659,119
2019-08-26-067,2901,124
2019-08-26-068,2355,112
2019-08-26-069,3070,124
2019-08-26-070,3277,129
2019-08-26-071,2682,119
2019-08-26-072,3304,128
2019-08-26-073,2666,117
2019-08-26-074,2249,111
2019-08-26-075,1335,466
2019-08-27-001,NA,NA
2019-08-27-002,39,114
2019-08-27-003,2096,483
2019-08-27-004,3163,128
2019-08-27-005,3293,128
2019-08-27-006,2379,115
2019-08-27-007,3823,135
2019-08-27-008,3199,126
2019-08-27-009,2920,123
2019-08-27-010,2775,121
2019-08-27-011,3366,131
2019-08-27-012,4219,140
2019-08-27-013,2379,112
2019-08-27-014,3711,133
2019-08-27-015,2783,121
2019-08-27-016,3672,132
2019-08-27-017,3686,133
2019-08-27-018,2708,120
2019-08-27-019,2349,116
2019-08-27-020,3754,134
2019-08-27-021,3548,131
2019-08-27-022,3327,128
2019-08-27-023,4289,140
2019-08-27-024,2471,118
2019-08-27-025,2810,119
2019-08-27-026,4038,138
2019-08-27-027,3056,122
2019-08-27-028,3481,128
2019-08-27-029,3163,125
2019-08-27-030,3424,128
2019-08-27-031,3522,132
2019-08-27-032,3940,136
2019-08-27-033,3131,123
2019-08-27-034,2799,121
2019-08-27-035,3587,132
2019-08-27-036,2794,120
2019-08-27-037,3183,125
2019-08-27-038,4197,139
2019-08-27-039,609,459
2019-08-27-040,2576,117
2019-08-27-041,2969,123
2019-08-27-042,2743,119
2019-08-27-043,2402,114
2019-08-27-044,4365,143
2019-08-27-045,3241,128
2019-08-27-046,3342,127
2019-08-27-047,4211,140
2019-08-27-048,3574,131
2019-08-27-049,3718,134
2019-08-27-050,2997,122
2019-08-27-051,3302,126
2019-08-27-052,2574,115
2019-08-27-053,3267,127
2019-08-27-054,2690,118
2019-08-27-055,2692,117
2019-08-27-056,2809,119
2019-08-27-057,3983,135
2019-08-27-058,3482,130
2019-08-27-059,4582,144
2019-08-27-060,2861,121
2019-08-27-061,NA,NA
2019-08-27-062,NA,NA
2019-08-27-063,2373,112
2019-08-27-064,2413,484
2019-08-27-065,1785,105
2019-08-27-066,3496,130
2019-08-27-067,4199,139
2019-08-27-068,3880,138
2019-08-27-069,3286,128
2019-08-27-070,6576,170
2019-08-27-071,2850,123
2019-08-27-072,2652,117
2019-08-27-073,2961,124
2019-08-27-074,5059,154
2019-08-27-075,403,171
2019-08-27-076,2538,117
2019-08-27-077,3108,127
2019-08-27-078,2133,477
2019-08-27-079,3431,129
2019-08-27-080,2901,122
2019-08-27-081,2979,123
2019-08-27-082,2804,120
2019-08-27-083,3214,126
2019-08-27-084,4294,141
2019-08-27-085,3239,127
2019-08-27-086,3608,132
2019-08-27-087,4134,139
2019-08-27-088,2580,115
2019-08-27-089,3252,127
2019-08-27-090,3376,129
2019-08-27-091,3279,126
2019-08-27-092,4417,142
2019-08-27-093,3022,124
2019-08-27-094,3304,129
2019-08-27-095,3068,125
2019-08-27-096,4296,141
2019-08-27-097,2831,120
2019-08-27-098,3126,126
2019-08-27-099,2922,120
2019-08-27-100,3146,125
2019-08-27-101,2749,120
2019-08-27-102,2714,119
2019-08-27-103,3891,135
2019-08-27-104,2668,119
2019-08-27-105,2549,115
2019-08-27-106,2265,113
2019-08-27-107,3666,132
2019-08-27-108,3542,130
2019-08-27-109,3219,126
2019-08-27-110,3182,125
2019-08-27-111,3414,131
2019-08-27-112,2629,117
2019-08-27-113,3003,123
2019-08-27-114,4627,147
2019-08-27-115,3582,132
2019-08-27-116,1532,472
2019-08-29-001,NA,NA
2019-08-29-002,62,116
2019-08-29-003,1730,479
2019-08-29-004,2633,118
2019-08-29-005,2854,121
2019-08-29-006,3954,136
2019-08-29-007,3453,130
2019-08-29-008,4968,151
2019-08-29-009,2769,121
2019-08-29-010,3361,129
2019-08-29-011,2520,115
2019-08-29-012,3031,122
2019-08-29-013,2699,119
2019-08-29-014,3879,134
2019-08-29-015,2717,119
2019-08-29-016,2723,118
2019-08-29-017,2098,110
2019-08-29-018,2318,113
2019-08-29-019,3034,123
2019-08-29-020,3545,132
2019-08-29-021,3318,128
2019-08-29-022,3363,129
2019-08-29-023,3259,127
2019-08-29-024,2669,117
2019-08-29-025,3675,132
2019-08-29-026,1329,98
2019-08-29-027,2915,122
2019-08-29-028,4194,139
2019-08-29-029,3544,131
2019-08-29-030,3132,123
2019-08-29-031,2046,110
2019-08-29-032,3225,126
2019-08-29-033,3884,133
2019-08-29-034,2778,121
2019-08-29-035,2777,120
2019-08-29-036,3756,134
2019-08-29-037,2525,114
2019-08-29-038,2142,110
2019-08-29-039,3590,131
2019-08-29-040,3815,135
2019-08-29-041,2035,107
2019-08-29-042,3199,126
2019-08-29-043,2900,121
2019-08-29-044,4562,145
2019-08-29-045,2343,113
2019-08-29-046,2870,120
2019-08-29-047,3060,123
2019-08-29-048,2257,110
2019-08-29-049,4319,142
2019-08-29-050,1254,468
2019-08-29-051,3746,133
2019-08-29-052,3521,131
2019-08-29-053,3180,124
2019-08-29-054,3188,126
2019-08-29-055,4076,138
2019-08-29-056,2720,119
2019-08-29-057,3310,128
2019-08-29-058,3843,136
2019-08-29-059,2972,122
2019-08-29-060,2266,110
2019-08-29-061,2590,120
2019-08-29-062,2671,117
2019-08-29-063,2343,111
2019-08-29-064,3184,125
2019-08-29-065,4400,142
2019-08-29-066,3208,125
2019-08-29-067,2163,108
2019-08-29-068,2996,123
2019-08-29-069,4440,141
2019-08-29-070,2629,120
2019-08-29-071,3907,137
2019-08-29-072,2325,113
2019-08-29-073,3889,135
2019-08-29-074,2826,120
2019-08-29-075,6948,174
2019-08-29-076,2533,117
2019-08-29-077,3934,138
2019-08-29-078,4442,143
2019-08-29-079,3911,135
2019-08-29-080,3432,128
2019-08-29-081,1801,107
2019-08-29-082,892,466
