TRUNC_ID,GENPRINT,SCANNING_CODE,STEM_ID,SUBSAMPLE_ID,SUBSAMPLE,Remarks,P Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Se Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Mo Concentration,Ag Concentration,Cd Concentration,Sn Concentration,Sb Concentration,Ba Concentration,La Concentration,Ce Concentration,Pr Concentration,Nd Concentration,Ta Concentration,W Concentration,Hg Concentration,Pb Concentration,Bi Concentration,Th Concentration,U Concentration,P Error1s,S Error1s,K Error1s,Ca Error1s,Ti Error1s,V Error1s,Cr Error1s,Mn Error1s,Fe Error1s,Co Error1s,Ni Error1s,Cu Error1s,Zn Error1s,As Error1s,Se Error1s,Rb Error1s,Sr Error1s,Y Error1s,Zr Error1s,Nb Error1s,Mo Error1s,Ag Error1s,Cd Error1s,Sn Error1s,Sb Error1s,Ba Error1s,La Error1s,Ce Error1s,Pr Error1s,Nd Error1s,Ta Error1s,W Error1s,Hg Error1s,Pb Error1s,Bi Error1s,Th Error1s,U Error1s,SITE,YEAR,RUN,RANGE,PAP,BLOCK,RUNPAIR,SET,GENOTYPE,TRIAL,GEN,yield,biomass,sample_weight,grain_g,harvest_index
0109J4,1442,Aug 22-4,ST50PKT0WD9S,ST50GEN0109J4,Straw,NA,402,1194,22079,3310,63,8,18,161,282,-16,-6,-3,2,-2,-3,14,100,-1,0,0,-1,0,-4,-26,-1,107,11,4,-209,-315,-3,-10,-4,1,-39,3,-4,158,39,76,20,2,0,1,2,6,2,1,1,1,0,0,0,5,2,2,1,3,2,3,6,6,15,30,61,77,166,14,1,1,1,2,4,4,York,2018,33,12,0 kg P,1,17,BT 4-Way MAGIC,CAV4081442,York_2018,CAV4081442,1.802631579,9.23,197.42,76.2,0.385979131
0108QH,777,Aug 22-5,ST50PKT0WCYG,ST50GEN0108QH,Straw,NA,433,1494,30280,3208,40,5,17,131,285,-15,-3,-1,-1,-3,-2,15,57,-1,-1,1,-1,-4,1,-33,2,120,-10,11,-76,-94,6,-9,-3,3,-40,-4,0,171,45,101,22,1,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,33,66,84,183,16,1,1,1,2,4,4,York,2018,55,5,0 kg P,1,28,BT 4-Way MAGIC,CAV4080777,York_2018,CAV4080777,2.854010025,8.75,170.4,73.8,0.433098592
0108Z5,1233,Aug 22-6,ST50PKT0WD1B,ST50GEN0108Z5,Straw,NA,659,1269,26163,4232,49,7,21,259,237,-15,-4,-3,0,-2,-3,19,57,-2,1,1,5,-1,-3,-22,6,134,-9,8,-160,-408,32,-8,-4,2,-42,-6,-6,187,44,93,25,2,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,4,3,3,6,7,17,34,68,87,188,18,1,1,1,2,4,4,York,2018,45,6,30 kg P,1,23,BT 4-Way MAGIC,CAV4081233,York_2018,CAV4081233,3.201219512,10.14,158.68,52.2,0.328963953
0107RM,976,Aug 22-7,ST50PKT0WCD2,ST50GEN0107RM,Straw,NA,334,1482,37690,3395,18,2,5,93,83,-12,-7,0,12,-1,-2,30,35,-2,0,1,5,-3,-4,-26,1,69,-26,-56,-114,-109,-1,-9,-3,1,-32,-5,-3,175,45,120,23,1,0,1,1,4,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,31,61,79,168,14,1,1,1,2,4,4,York,2018,93,12,0 kg P,2,47,BT 4-Way MAGIC,CAV4080976,York_2018,CAV4080976,2.881578947,12.43,180.49,50.3,0.2786858
01078X,1051,Aug 22-8,ST50PKT0WC08,ST50GEN01078X,Straw,NA,430,833,28444,1896,34,6,10,162,142,-15,-5,-3,-1,-2,-2,13,41,0,2,1,0,-3,0,-23,-12,96,-26,15,-47,-183,41,-9,-6,2,-37,-1,2,156,36,96,18,1,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,32,65,83,178,17,1,1,1,2,4,4,York,2018,112,12,30 kg P,2,56,BT 4-Way MAGIC,CAV4081051,York_2018,CAV4081051,3.059210526,11.1,293.99,86.5,0.294227695
0109VD,1302,Aug 22-9,ST50PKT0WDKW,ST50GEN0109VD,Straw,NA,838,1216,29736,2766,43,5,18,164,302,-13,-5,-1,1,-3,-3,16,39,4,-3,1,-5,-1,4,-20,-1,133,-42,7,-273,78,-3,-11,-3,3,-42,-1,12,177,42,100,21,1,0,1,2,6,2,1,1,1,0,0,0,4,2,2,2,3,3,3,6,6,17,34,68,86,185,16,1,1,1,2,4,5,York,2018,12,5,30 kg P,1,6,BT 4-Way MAGIC,CAV4081302,York_2018,CAV4081302,4.213659148,16.2,348.19,113.3,0.325397053
0108WL,1232,Aug 22-10,ST50PKT0WCZV,ST50GEN0108WL,Straw,NA,615,910,23339,3221,47,7,20,120,255,-13,-6,-2,1,-3,-3,14,56,-1,-3,-1,4,3,5,-21,7,145,-1,42,-172,-9,23,-9,-4,3,-44,2,0,168,37,82,21,1,0,1,1,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,33,65,85,182,17,1,1,1,2,4,4,York,2018,48,10,0 kg P,1,24,BT 4-Way MAGIC,CAV4081232,York_2018,CAV4081232,3.710526316,11.24,193.81,82.9,0.427738507
0108N7,1443,Aug 22-11,ST50PKT0WCR1,ST50GEN0108N7,Straw,NA,666,977,19739,3415,28,3,9,70,138,-13,-8,-3,-1,-2,-2,20,44,0,3,1,2,2,3,-23,-1,93,-7,24,-6,29,23,-9,-4,1,-35,-4,-2,158,36,69,20,1,0,1,1,4,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,14,30,60,76,164,14,1,1,1,1,4,4,York,2018,62,6,30 kg P,1,31,BT 4-Way MAGIC,CAV4081443,York_2018,CAV4081443,4.244223363,14.51,310.83,93,0.299198919
0108X7,1148,Aug 22-12,ST50PKT0WD07,ST50GEN0108X7,Straw,NA,3569,1181,31929,3467,77,5,14,113,507,-14,-4,-3,7,-2,-2,19,46,-2,7,2,3,-2,-2,-27,-13,98,-42,60,-146,57,6,-11,-4,2,-36,-1,5,221,40,101,22,2,0,1,1,7,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,30,61,77,166,14,1,1,1,1,4,4,York,2018,47,12,30 kg P,1,24,BT 4-Way MAGIC,CAV4081148,York_2018,CAV4081148,3.671052632,11.11,229.11,77.2,0.336956047
01079P,1051,Aug 22-13,ST50PKT0WC0Q,ST50GEN01079P,Straw,NA,513,1367,29054,2362,34,4,11,77,178,-12,-9,-2,1,-3,-3,11,42,2,-1,2,9,-2,-9,-29,-3,125,-81,-4,-208,-105,15,-6,-4,3,-43,0,0,165,43,99,19,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,2,4,3,3,7,7,17,35,69,88,191,17,1,1,1,2,4,5,York,2018,111,12,0 kg P,2,56,BT 4-Way MAGIC,CAV4081051,York_2018,CAV4081051,2.465460526,9.94,170.53,58.4,0.342461737
