STEM_ID,SUBSAMPLE.x,straw_pconc,PAP.x,yield.x,SUBSAMPLE.y,grain_pconc,PAP.y,yield.y
ST50PKT0WD9S,Straw,402,0 kg P,1.802631579,Grain,2699,0 kg P,1.802631579
ST50PKT0WCYG,Straw,433,0 kg P,2.854010025,Grain,3587,0 kg P,2.854010025
ST50PKT0WD1B,Straw,659,30 kg P,3.201219512,Grain,4627,30 kg P,3.201219512
ST50PKT0WCD2,Straw,334,0 kg P,2.881578947,Grain,3843,0 kg P,2.881578947
ST50PKT0WC08,Straw,430,30 kg P,3.059210526,Grain,4440,30 kg P,3.059210526
ST50PKT0WDKW,Straw,838,30 kg P,4.213659148,Grain,3034,30 kg P,4.213659148
ST50PKT0WCZV,Straw,615,0 kg P,3.710526316,Grain,4211,0 kg P,3.710526316
ST50PKT0WCR1,Straw,666,30 kg P,4.244223363,Grain,2979,30 kg P,4.244223363
ST50PKT0WD07,Straw,3569,30 kg P,3.671052632,Grain,6948,30 kg P,3.671052632
ST50PKT0WC0Q,Straw,513,0 kg P,2.465460526,Grain,3132,0 kg P,2.465460526
ST50PKT0WCLS,Straw,347,30 kg P,4.725609756,Grain,3199,30 kg P,4.725609756
ST50PKT0WC0Y,Straw,368,0 kg P,2.039473684,Grain,2257,0 kg P,2.039473684
ST50PKT0WCYH,Straw,1176,0 kg P,2.601214575,Grain,2743,0 kg P,2.601214575
ST50PKT0WC4G,Straw,597,30 kg P,4.331983806,Grain,3208,30 kg P,4.331983806
ST50PKT0WC0H,Straw,707,30 kg P,3.21585213,Grain,3241,30 kg P,3.21585213
ST50PKT0WCSY,Straw,599,30 kg P,4.226190476,Grain,2402,30 kg P,4.226190476
ST50PKT0WD0F,Straw,615,30 kg P,2.705391528,Grain,3756,30 kg P,2.705391528
ST50PKT0WDLK,Straw,411,0 kg P,0.689144737,Grain,2325,0 kg P,0.689144737
ST50PKT0WCRL,Straw,442,0 kg P,2.982991014,Grain,2343,0 kg P,2.982991014
ST50PKT0WC4C,Straw,611,30 kg P,2.922015404,Grain,4442,30 kg P,2.922015404
ST50PKT0WC4H,Straw,430,30 kg P,3.674582798,Grain,2046,30 kg P,3.674582798
ST50PKT0WC4N,Straw,495,0 kg P,2.225328947,Grain,2163,0 kg P,2.225328947
ST50PKT0WC4S,Straw,-32,0 kg P,2.373614958,Grain,2318,0 kg P,2.373614958
ST50PKT0WCSH,Straw,897,0 kg P,3.582393484,Grain,3239,0 kg P,3.582393484
ST50PKT0WCRC,Straw,785,0 kg P,2.370065789,Grain,3672,0 kg P,2.370065789
ST50PKT0WCRC,Straw,785,0 kg P,2.370065789,Grain,3686,0 kg P,2.370065789
ST50PKT0WDBV,Straw,314,0 kg P,2.549743261,Grain,3131,0 kg P,2.549743261
ST50PKT0WCWH,Straw,574,0 kg P,2.246710526,Grain,3163,0 kg P,2.246710526
ST50PKT0WD7R,Straw,535,30 kg P,5.56322208,Grain,2787,30 kg P,5.56322208
ST50PKT0WD9F,Straw,771,30 kg P,3.644094994,Grain,4199,30 kg P,3.644094994
ST50PKT0WDB4,Straw,440,0 kg P,2.338815789,Grain,2850,0 kg P,2.338815789
ST50PKT0WD9N,Straw,656,30 kg P,4.043522267,NA,NA,NA,NA
ST50PKT0WCRH,Straw,395,0 kg P,2.756739409,Grain,3070,0 kg P,2.756739409
ST50PKT0WCR5,Straw,321,30 kg P,6.268556005,NA,NA,NA,NA
