Instrument Serial Num,Reading_No,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude, Units,P Compound,P Compound Level,P Compound Error,PConcentration,P_Error1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,Ba Compound,Ba Compound Level,Ba Compound Error,Ba Concentration,Ba Error1s,La Compound,La Compound Level,La Compound Error,La Concentration,La Error1s,Ce Compound,Ce Compound Level,Ce Compound Error,Ce Concentration,Ce Error1s,Pr Compound,Pr Compound Level,Pr Compound Error,Pr Concentration,Pr Error1s,Nd Compound,Nd Compound Level,Nd Compound Error,Nd Concentration,Nd Error1s,Ta Compound,Ta Compound Level,Ta Compound Error,Ta Concentration,Ta Error1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,,Real Time 1,Real Time 2,Real Time 3
803819,1,22/08/2019,9:51:54,,,1C,No,,,PPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,
803819,2,22/08/2019,10:04:06,Soil,,2,No,,,PPM,,,,2,113,,,,-14,21,,,,6,9,,,,-10,3,,,,3,1,,,,1,0,,,,0,1,,,,1,1,,,,8,3,,,,0,2,,,,1,1,,,,1,1,,,,0,1,,,,-1,0,,,,0,0,,,,0,0,,,,1,1,,,,-1,1,,,,-1,1,,,,0,1,,,,-1,1,,,,2,1,,,,-1,1,,,,-5,3,,,,4,3,,,,4,8,,,,-17,19,,,,-38,39,,,,-41,50,,,,161,111,,,,-6,6,,,,1,2,,,,1,1,,,,0,1,,,,0,1,,,,1,2,,,,0,2,1,30,30,30
803819,3,22/08/2019,10:06:30,Soil,,3,No,,,PPM,,,,1454,470,,,,1282,75,,,,26873,125,,,,24498,102,,,,2997,17,,,,90,2,,,,62,2,,,,688,5,,,,27880,101,,,,-49,17,,,,26,2,,,,132,3,,,,417,4,,,,116,5,,,,2,1,,,,123,1,,,,234,5,,,,29,3,,,,267,5,,,,19,1,,,,10,2,,,,6,2,,,,51,2,,,,12,4,,,,27,4,,,,536,13,,,,34,23,,,,164,47,,,,-389,62,,,,-194,135,,,,17,11,,,,10,3,,,,9,2,,,,1409,7,,,,0,2,,,,10,3,,,,3,3,2,30,30,30
803819,4,22/08/2019,10:09:15,Soil,,4,No,,,PPM,,,,402,158,,,,1194,39,,,,22079,76,,,,3310,20,,,,63,2,,,,8,0,,,,18,1,,,,161,2,,,,282,6,,,,-16,2,,,,-6,1,,,,-3,1,,,,2,1,,,,-2,0,,,,-3,0,,,,14,0,,,,100,5,,,,-1,2,,,,0,2,,,,0,1,,,,-1,3,,,,0,2,,,,-4,3,,,,-26,6,,,,-1,6,,,,107,15,,,,11,30,,,,4,61,,,,-209,77,,,,-315,166,,,,-3,14,,,,-10,1,,,,-4,1,,,,1,1,,,,-39,2,,,,3,4,,,,-4,4,3,30,30,30
803819,5,22/08/2019,10:13:07,Soil,,5,No,,,PPM,,,,433,171,,,,1494,45,,,,30280,101,,,,3208,22,,,,40,1,,,,5,0,,,,17,1,,,,131,2,,,,285,6,,,,-15,2,,,,-3,1,,,,-1,1,,,,-1,1,,,,-3,0,,,,-2,0,,,,15,0,,,,57,4,,,,-1,2,,,,-1,2,,,,1,1,,,,-1,3,,,,-4,3,,,,1,3,,,,-33,6,,,,2,6,,,,120,16,,,,-10,33,,,,11,66,,,,-76,84,,,,-94,183,,,,6,16,,,,-9,1,,,,-3,1,,,,3,1,,,,-40,2,,,,-4,4,,,,0,4,4,30,30,30
803819,6,22/08/2019,10:15:25,Soil,,6,No,,,PPM,,,,659,187,,,,1269,44,,,,26163,93,,,,4232,25,,,,49,2,,,,7,0,,,,21,1,,,,259,2,,,,237,6,,,,-15,2,,,,-4,1,,,,-3,1,,,,0,1,,,,-2,0,,,,-3,0,,,,19,0,,,,57,4,,,,-2,2,,,,1,2,,,,1,1,,,,5,4,,,,-1,3,,,,-3,3,,,,-22,6,,,,6,7,,,,134,17,,,,-9,34,,,,8,68,,,,-160,87,,,,-408,188,,,,32,18,,,,-8,1,,,,-4,1,,,,2,1,,,,-42,2,,,,-6,4,,,,-6,4,5,30,30,30
803819,7,22/08/2019,10:17:31,Soil,,7,No,,,PPM,,,,334,175,,,,1482,45,,,,37690,120,,,,3395,23,,,,18,1,,,,2,0,,,,5,1,,,,93,1,,,,83,4,,,,-12,2,,,,-7,1,,,,0,1,,,,12,1,,,,-1,0,,,,-2,0,,,,30,0,,,,35,3,,,,-2,2,,,,0,2,,,,1,1,,,,5,3,,,,-3,2,,,,-4,3,,,,-26,6,,,,1,6,,,,69,15,,,,-26,31,,,,-56,61,,,,-114,79,,,,-109,168,,,,-1,14,,,,-9,1,,,,-3,1,,,,1,1,,,,-32,2,,,,-5,4,,,,-3,4,6,30,30,30
803819,8,22/08/2019,10:19:41,Soil,,8,No,,,PPM,,,,430,156,,,,833,36,,,,28444,96,,,,1896,18,,,,34,1,,,,6,0,,,,10,1,,,,162,2,,,,142,5,,,,-15,2,,,,-5,1,,,,-3,1,,,,-1,1,,,,-2,0,,,,-2,0,,,,13,0,,,,41,4,,,,0,2,,,,2,2,,,,1,1,,,,0,3,,,,-3,3,,,,0,3,,,,-23,6,,,,-12,6,,,,96,16,,,,-26,32,,,,15,65,,,,-47,83,,,,-183,178,,,,41,17,,,,-9,1,,,,-6,1,,,,2,1,,,,-37,2,,,,-1,4,,,,2,4,7,30,30,30
803819,9,22/08/2019,10:21:39,Soil,,9,No,,,PPM,,,,838,177,,,,1216,42,,,,29736,100,,,,2766,21,,,,43,1,,,,5,0,,,,18,1,,,,164,2,,,,302,6,,,,-13,2,,,,-5,1,,,,-1,1,,,,1,1,,,,-3,0,,,,-3,0,,,,16,0,,,,39,4,,,,4,2,,,,-3,2,,,,1,2,,,,-5,3,,,,-1,3,,,,4,3,,,,-20,6,,,,-1,6,,,,133,17,,,,-42,34,,,,7,68,,,,-273,86,,,,78,185,,,,-3,16,,,,-11,1,,,,-3,1,,,,3,1,,,,-42,2,,,,-1,4,,,,12,5,8,30,30,30
803819,10,22/08/2019,10:23:47,Soil,,10,No,,,PPM,,,,615,168,,,,910,37,,,,23339,82,,,,3221,21,,,,47,1,,,,7,0,,,,20,1,,,,120,1,,,,255,6,,,,-13,2,,,,-6,1,,,,-2,1,,,,1,1,,,,-3,0,,,,-3,0,,,,14,0,,,,56,4,,,,-1,2,,,,-3,2,,,,-1,1,,,,4,3,,,,3,3,,,,5,3,,,,-21,6,,,,7,6,,,,145,16,,,,-1,33,,,,42,65,,,,-172,85,,,,-9,182,,,,23,17,,,,-9,1,,,,-4,1,,,,3,1,,,,-44,2,,,,2,4,,,,0,4,9,30,30,30
