Instrument Serial Num,Reading_No,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude, Units,P Compound,P Compound Level,P Compound Error,P Concentration,P Error1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,Ba Compound,Ba Compound Level,Ba Compound Error,Ba Concentration,Ba Error1s,La Compound,La Compound Level,La Compound Error,La Concentration,La Error1s,Ce Compound,Ce Compound Level,Ce Compound Error,Ce Concentration,Ce Error1s,Pr Compound,Pr Compound Level,Pr Compound Error,Pr Concentration,Pr Error1s,Nd Compound,Nd Compound Level,Nd Compound Error,Nd Concentration,Nd Error1s,Ta Compound,Ta Compound Level,Ta Compound Error,Ta Concentration,Ta Error1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,,Real Time 1,Real Time 2,Real Time 3
803819,1,26/08/2019,9:42:50,,,1C,No,,,PPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,
803819,2,26/08/2019,9:50:22,Soil,,2,No,,,PPM,,,,142,119,,,,21,22,,,,16,9,,,,-14,2,,,,5,1,,,,1,0,,,,0,1,,,,3,1,,,,11,3,,,,-1,2,,,,0,1,,,,-1,1,,,,-1,1,,,,1,0,,,,0,0,,,,0,0,,,,-1,1,,,,0,1,,,,0,1,,,,0,1,,,,0,1,,,,0,1,,,,0,1,,,,0,3,,,,3,3,,,,14,8,,,,17,19,,,,58,39,,,,15,51,,,,209,111,,,,-12,6,,,,-1,1,,,,1,1,,,,-1,1,,,,-5,1,,,,-1,2,,,,1,2,1,30,30,30
803819,3,26/08/2019,9:52:44,Soil,,3,No,,,PPM,,,,1874,475,,,,1371,76,,,,27132,125,,,,24721,103,,,,2966,16,,,,92,2,,,,59,2,,,,677,5,,,,28360,103,,,,-15,17,,,,33,2,,,,134,3,,,,420,4,,,,124,5,,,,1,1,,,,124,1,,,,230,5,,,,27,3,,,,270,5,,,,17,1,,,,3,2,,,,3,1,,,,45,2,,,,12,4,,,,27,4,,,,516,13,,,,4,22,,,,123,47,,,,-348,61,,,,-305,135,,,,15,11,,,,14,3,,,,9,2,,,,1426,7,,,,0,2,,,,9,3,,,,2,3,2,30,30,30
803819,4,26/08/2019,9:54:43,Soil,,4,No,,,PPM,,,,525,150,,,,874,35,,,,24710,83,,,,1866,17,,,,30,1,,,,3,0,,,,12,1,,,,49,1,,,,159,5,,,,-15,2,,,,-8,1,,,,-3,1,,,,0,1,,,,-2,0,,,,-3,0,,,,13,0,,,,21,3,,,,1,2,,,,2,2,,,,1,1,,,,1,3,,,,0,2,,,,-2,3,,,,-25,6,,,,-5,6,,,,110,15,,,,-32,30,,,,61,60,,,,-93,77,,,,-333,165,,,,6,14,,,,-9,1,,,,-5,1,,,,2,1,,,,-37,2,,,,-12,3,,,,-1,4,3,30,30,30
803819,5,26/08/2019,9:56:32,Soil,,5,No,,,PPM,,,,739,171,,,,648,33,,,,27674,91,,,,3612,22,,,,52,1,,,,5,0,,,,16,1,,,,129,1,,,,356,6,,,,-15,2,,,,-7,1,,,,-4,1,,,,1,1,,,,-2,0,,,,-2,0,,,,11,0,,,,39,3,,,,0,2,,,,4,2,,,,-1,1,,,,4,3,,,,-4,2,,,,-3,3,,,,-25,6,,,,-4,6,,,,118,15,,,,-8,30,,,,13,61,,,,-84,79,,,,-203,168,,,,18,15,,,,-12,1,,,,-3,1,,,,2,1,,,,-41,2,,,,-6,3,,,,-1,4,4,30,30,30
803819,6,26/08/2019,9:58:21,Soil,,6,No,,,PPM,,,,764,174,,,,869,37,,,,26972,91,,,,3395,22,,,,52,1,,,,5,0,,,,22,1,,,,216,2,,,,350,6,,,,-13,2,,,,-3,1,,,,-1,1,,,,4,1,,,,-2,0,,,,-3,0,,,,23,0,,,,48,4,,,,1,2,,,,1,2,,,,-2,1,,,,3,3,,,,-5,3,,,,0,3,,,,-21,6,,,,-5,6,,,,107,16,,,,-55,32,,,,-132,65,,,,-143,83,,,,-54,176,,,,31,16,,,,-10,1,,,,-4,1,,,,2,1,,,,-38,2,,,,0,4,,,,-1,4,5,30,30,30
803819,7,26/08/2019,10:00:21,Soil,,7,No,,,PPM,,,,803,166,,,,903,36,,,,25790,87,,,,2724,19,,,,55,1,,,,8,0,,,,15,1,,,,262,2,,,,285,6,,,,-14,2,,,,-5,1,,,,-5,1,,,,-1,1,,,,-2,0,,,,-2,0,,,,29,0,,,,53,4,,,,-2,2,,,,1,2,,,,-1,1,,,,-4,3,,,,-1,2,,,,-3,3,,,,-25,6,,,,-6,6,,,,127,15,,,,-53,30,,,,-31,60,,,,-46,78,,,,-27,167,,,,28,15,,,,-10,1,,,,-5,1,,,,2,1,,,,-34,1,,,,-6,3,,,,-2,4,6,30,30,30
803819,8,26/08/2019,10:02:20,Soil,,8,No,,,PPM,,,,832,183,,,,1046,41,,,,31388,106,,,,3203,22,,,,61,2,,,,8,0,,,,19,1,,,,87,1,,,,203,5,,,,-14,2,,,,-7,1,,,,-2,1,,,,6,1,,,,-3,0,,,,-3,0,,,,15,0,,,,38,3,,,,1,2,,,,1,2,,,,-2,1,,,,4,3,,,,-2,3,,,,4,3,,,,-25,6,,,,-9,6,,,,127,16,,,,-55,32,,,,-140,64,,,,-159,81,,,,12,174,,,,27,17,,,,-11,1,,,,-4,1,,,,3,1,,,,-39,2,,,,3,4,,,,-1,4,7,30,30,30
803819,9,26/08/2019,10:04:10,Soil,,9,No,,,PPM,,,,379,160,,,,901,37,,,,18073,69,,,,3091,20,,,,36,1,,,,6,0,,,,21,1,,,,66,1,,,,155,5,,,,-17,2,,,,-7,1,,,,-3,1,,,,-2,1,,,,-3,0,,,,-3,0,,,,22,0,,,,50,4,,,,0,2,,,,4,2,,,,3,1,,,,-1,3,,,,0,3,,,,2,3,,,,-22,6,,,,4,6,,,,112,16,,,,-60,32,,,,-10,66,,,,-226,83,,,,-110,179,,,,20,16,,,,-8,1,,,,-5,1,,,,3,1,,,,-42,2,,,,9,5,,,,-5,4,8,30,30,30
803819,10,26/08/2019,10:05:59,Soil,,10,No,,,PPM,,,,508,145,,,,605,30,,,,17082,61,,,,2769,17,,,,35,1,,,,5,0,,,,9,1,,,,72,1,,,,147,4,,,,-14,2,,,,-5,1,,,,-4,1,,,,-2,1,,,,-2,0,,,,-2,0,,,,12,0,,,,48,3,,,,1,2,,,,1,2,,,,1,1,,,,4,3,,,,-6,2,,,,2,3,,,,-19,6,,,,-4,6,,,,127,14,,,,6,29,,,,7,59,,,,-177,75,,,,-116,161,,,,4,13,,,,-7,1,,,,-5,1,,,,2,1,,,,-38,1,,,,-5,3,,,,1,4,9,30,30,30
