sep=,
Instrument Serial Num,Reading #,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude, Units,P Compound,P Compound Level,P Compound Error,P Concentration,P Error1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,Ba Compound,Ba Compound Level,Ba Compound Error,Ba Concentration,Ba Error1s,La Compound,La Compound Level,La Compound Error,La Concentration,La Error1s,Ce Compound,Ce Compound Level,Ce Compound Error,Ce Concentration,Ce Error1s,Pr Compound,Pr Compound Level,Pr Compound Error,Pr Concentration,Pr Error1s,Nd Compound,Nd Compound Level,Nd Compound Error,Nd Concentration,Nd Error1s,Ta Compound,Ta Compound Level,Ta Compound Error,Ta Concentration,Ta Error1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,,Real Time 1,Real Time 2,Real Time 3,
803819,1,2019-08-27,09:40:01,,,1C,No,,,PPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,
803819,2,2019-08-27,09:48:35,Soil,,2,No,,,PPM,,,,39,114,,,,-17,21,,,,-14,9,,,,-14,2,,,,4,1,,,,1,0,,,,-0,1,,,,4,1,,,,8,3,,,,-1,2,,,,-1,1,,,,0,1,,,,0,1,,,,1,0,,,,-0,0,,,,-0,0,,,,1,1,,,,1,1,,,,1,1,,,,-1,1,,,,-2,1,,,,1,1,,,,-1,1,,,,-2,3,,,,-8,3,,,,16,9,,,,3,19,,,,44,39,,,,-89,51,,,,103,112,,,,-3,6,,,,-1,1,,,,1,1,,,,-0,1,,,,-3,1,,,,-5,1,,,,2,2,1,30,30,30,
803819,3,2019-08-27,09:51:43,Soil,,3,No,,,PPM,,,,2096,483,,,,1331,76,,,,26597,126,,,,24229,103,,,,3060,17,,,,91,2,,,,54,2,,,,671,5,,,,27719,103,,,,-31,17,,,,29,2,,,,129,3,,,,414,4,,,,106,5,,,,2,1,,,,122,1,,,,235,5,,,,30,3,,,,254,5,,,,18,1,,,,6,2,,,,6,2,,,,53,2,,,,12,4,,,,36,4,,,,533,13,,,,25,23,,,,92,48,,,,-485,64,,,,-527,140,,,,15,11,,,,16,3,,,,12,2,,,,1417,7,,,,-1,2,,,,10,3,,,,5,3,2.0,30,30,30,
803819,4,2019-08-27,09:55:18,Soil,,4,No,,,PPM,,,,3163,128,,,,879,24,,,,4666,20,,,,326,5,,,,4,1,,,,-2,0,,,,-15,0,,,,48,1,,,,28,2,,,,-14,1,,,,-12,1,,,,-3,1,,,,23,1,,,,-1,0,,,,-2,0,,,,6,0,,,,6,1,,,,-0,1,,,,0,1,,,,-1,0,,,,-3,1,,,,-2,1,,,,-1,2,,,,-25,3,,,,-2,3,,,,20,8,,,,-19,17,,,,10,34,,,,3,43,,,,60,93,,,,-13,5,,,,-13,1,,,,-4,0,,,,-2,0,,,,-19,1,,,,-4,1,,,,2,2,3.0,30,30,30,
803819,5,2019-08-27,09:58:01,Soil,,5,No,,,PPM,,,,3293,128,,,,929,24,,,,4792,20,,,,341,5,,,,5,1,,,,-3,0,,,,-14,0,,,,51,1,,,,20,2,,,,-14,1,,,,-11,1,,,,-0,1,,,,30,1,,,,-1,0,,,,-2,0,,,,5,0,,,,4,1,,,,-1,1,,,,0,1,,,,-0,0,,,,-0,1,,,,-1,1,,,,1,2,,,,-21,3,,,,-5,3,,,,17,8,,,,-10,16,,,,-66,33,,,,-86,42,,,,226,90,,,,-6,6,,,,-12,1,,,,-4,0,,,,-2,0,,,,-16,1,,,,-4,1,,,,-1,1,4.0,30,30,30,
803819,6,2019-08-27,10:00:52,Soil,,6,No,,,PPM,,,,2379,115,,,,1089,25,,,,3615,18,,,,404,5,,,,2,1,,,,-3,0,,,,-13,0,,,,44,1,,,,46,2,,,,-13,1,,,,-12,1,,,,2,1,,,,29,1,,,,-1,0,,,,-2,0,,,,8,0,,,,8,1,,,,-1,1,,,,-1,1,,,,-1,0,,,,-1,1,,,,0,1,,,,-1,2,,,,-30,3,,,,-7,3,,,,31,8,,,,-29,17,,,,34,34,,,,65,43,,,,359,92,,,,-4,6,,,,-12,1,,,,-5,0,,,,-2,0,,,,-19,1,,,,-4,1,,,,0,2,5.0,30,30,30,
803819,7,2019-08-27,10:03:34,Soil,,7,No,,,PPM,,,,3823,135,,,,895,24,,,,5828,23,,,,298,5,,,,1,1,,,,-3,0,,,,-14,0,,,,50,1,,,,33,2,,,,-14,1,,,,-12,1,,,,-7,0,,,,18,1,,,,-1,0,,,,-2,0,,,,11,0,,,,4,1,,,,-1,1,,,,-0,1,,,,-0,0,,,,-0,1,,,,-1,1,,,,-1,2,,,,-24,3,,,,-2,3,,,,16,8,,,,-3,17,,,,73,33,,,,-62,42,,,,108,91,,,,-6,6,,,,-12,1,,,,-5,0,,,,-1,0,,,,-16,1,,,,-3,1,,,,-2,1,6.0,30,30,30,
803819,8,2019-08-27,10:06:01,Soil,,8,No,,,PPM,,,,3199,126,,,,938,24,,,,4441,20,,,,314,5,,,,2,1,,,,-3,0,,,,-14,0,,,,35,1,,,,24,2,,,,-15,1,,,,-12,1,,,,-1,1,,,,24,1,,,,-1,0,,,,-2,0,,,,5,0,,,,4,1,,,,0,1,,,,-1,1,,,,-0,0,,,,-4,1,,,,1,1,,,,0,2,,,,-25,3,,,,-1,3,,,,16,8,,,,-15,16,,,,9,33,,,,-17,42,,,,39,90,,,,-9,6,,,,-12,1,,,,-5,0,,,,-2,0,,,,-17,1,,,,-4,1,,,,1,1,7.0,30,30,30,
803819,9,2019-08-27,10:08:33,Soil,,9,No,,,PPM,,,,2920,123,,,,924,24,,,,4683,20,,,,374,5,,,,3,1,,,,-2,0,,,,-14,0,,,,28,1,,,,22,2,,,,-13,1,,,,-12,1,,,,-2,1,,,,20,1,,,,-1,0,,,,-2,0,,,,8,0,,,,4,1,,,,-1,1,,,,-1,1,,,,0,0,,,,-0,1,,,,-1,1,,,,-2,2,,,,-24,3,,,,-5,3,,,,26,8,,,,-1,17,,,,8,33,,,,-61,42,,,,27,91,,,,0,6,,,,-11,1,,,,-5,0,,,,-2,0,,,,-19,1,,,,-5,1,,,,-0,1,8.0,30,30,30,
803819,10,2019-08-27,10:10:54,Soil,,10,No,,,PPM,,,,2775,121,,,,1053,25,,,,4054,19,,,,232,5,,,,2,1,,,,-3,0,,,,-14,0,,,,51,1,,,,33,2,,,,-14,1,,,,-12,1,,,,-4,0,,,,18,1,,,,-1,0,,,,-3,0,,,,12,0,,,,6,1,,,,-1,1,,,,-1,1,,,,0,0,,,,-1,1,,,,-1,1,,,,1,2,,,,-20,3,,,,-6,3,,,,23,8,,,,-4,17,,,,-69,34,,,,-145,43,,,,178,93,,,,-5,6,,,,-12,1,,,,-5,0,,,,-1,0,,,,-18,1,,,,-3,1,,,,-1,2,9.0,30,30,30,
