sep=,
Instrument Serial Num,Reading #,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude, Units,P Compound,P Compound Level,P Compound Error,P Concentration,P Error1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,Ba Compound,Ba Compound Level,Ba Compound Error,Ba Concentration,Ba Error1s,La Compound,La Compound Level,La Compound Error,La Concentration,La Error1s,Ce Compound,Ce Compound Level,Ce Compound Error,Ce Concentration,Ce Error1s,Pr Compound,Pr Compound Level,Pr Compound Error,Pr Concentration,Pr Error1s,Nd Compound,Nd Compound Level,Nd Compound Error,Nd Concentration,Nd Error1s,Ta Compound,Ta Compound Level,Ta Compound Error,Ta Concentration,Ta Error1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,,Real Time 1,Real Time 2,Real Time 3,
803819,1,2019-09-11,15:16:33,,,1C,No,,,PPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,
803819,2,2019-09-11,15:21:35,Soil,,2,No,,,PPM,,,,-72,109,,,,29,22,,,,2,9,,,,-9,3,,,,2,1,,,,1,0,,,,1,1,,,,2,1,,,,14,3,,,,-1,2,,,,-0,1,,,,1,1,,,,-0,1,,,,-0,0,,,,-0,0,,,,0,0,,,,0,1,,,,-1,1,,,,-1,1,,,,1,1,,,,-0,1,,,,0,1,,,,-1,1,,,,1,3,,,,6,3,,,,13,8,,,,1,19,,,,-100,39,,,,-78,51,,,,-88,111,,,,-12,6,,,,1,2,,,,-1,1,,,,-0,1,,,,1,1,,,,-1,2,,,,-0,2,1,30,30,30,
803819,3,2019-09-11,15:34:11,Soil,,3,No,,,PPM,,,,1076,469,,,,1527,78,,,,27620,128,,,,24984,104,,,,3011,17,,,,88,2,,,,62,2,,,,684,5,,,,28987,106,,,,-20,17,,,,34,2,,,,137,3,,,,429,4,,,,127,5,,,,2,1,,,,125,1,,,,235,5,,,,28,3,,,,278,5,,,,18,1,,,,2,2,,,,6,1,,,,54,2,,,,11,4,,,,30,4,,,,517,13,,,,19,23,,,,120,47,,,,-428,62,,,,-248,136,,,,32,12,,,,9,3,,,,12,2,,,,1437,7,,,,2,2,,,,10,3,,,,5,3,2.0,30,30,30,
803819,4,2019-09-11,15:36:08,Soil,,4,No,,,PPM,,,,2616,117,,,,712,22,,,,3817,18,,,,251,5,,,,4,1,,,,-3,0,,,,-15,0,,,,23,1,,,,20,2,,,,-14,1,,,,-12,1,,,,-1,1,,,,10,0,,,,-1,0,,,,-2,0,,,,5,0,,,,1,1,,,,-0,1,,,,-1,1,,,,-1,0,,,,-0,1,,,,-1,1,,,,-2,2,,,,-27,3,,,,-3,3,,,,19,8,,,,-29,16,,,,-2,33,,,,-72,42,,,,56,90,,,,-15,5,,,,-13,1,,,,-5,0,,,,-2,0,,,,-19,1,,,,-5,1,,,,-3,1,3.0,30,30,30,
803819,5,2019-09-11,15:38:02,Soil,,5,No,,,PPM,,,,4160,139,,,,820,23,,,,4728,20,,,,299,5,,,,2,1,,,,-3,0,,,,-15,0,,,,30,1,,,,20,2,,,,-14,1,,,,-11,1,,,,-0,1,,,,23,1,,,,-1,0,,,,-2,0,,,,5,0,,,,5,1,,,,-0,1,,,,-0,1,,,,-2,0,,,,-3,1,,,,-2,1,,,,-1,2,,,,-27,3,,,,-6,3,,,,18,8,,,,-12,16,,,,-13,33,,,,-153,42,,,,-83,91,,,,-5,6,,,,-12,1,,,,-4,0,,,,-2,0,,,,-17,1,,,,-3,1,,,,1,2,4.0,30,30,30,
803819,6,2019-09-11,15:39:50,Soil,,6,No,,,PPM,,,,3538,131,,,,913,24,,,,4775,20,,,,322,5,,,,3,1,,,,-2,0,,,,-14,0,,,,29,1,,,,35,2,,,,-15,1,,,,-11,1,,,,-1,1,,,,21,1,,,,-1,0,,,,-2,0,,,,7,0,,,,4,1,,,,-1,1,,,,-1,1,,,,-1,0,,,,-0,1,,,,-3,1,,,,-1,2,,,,-23,3,,,,-7,3,,,,13,8,,,,-24,17,,,,-14,34,,,,2,43,,,,36,92,,,,-6,6,,,,-12,1,,,,-5,0,,,,-2,0,,,,-20,1,,,,-2,1,,,,-1,1,5.0,30,30,30,
803819,7,2019-09-11,15:41:42,Soil,,7,No,,,PPM,,,,3275,127,,,,792,23,,,,4687,20,,,,214,5,,,,2,1,,,,-3,0,,,,-14,0,,,,32,1,,,,27,2,,,,-14,1,,,,-12,1,,,,-3,1,,,,13,1,,,,-1,0,,,,-2,0,,,,6,0,,,,3,1,,,,-1,1,,,,-1,1,,,,1,0,,,,1,1,,,,-0,1,,,,-5,2,,,,-30,3,,,,-5,3,,,,12,8,,,,-37,16,,,,15,33,,,,-125,42,,,,62,90,,,,-10,5,,,,-12,1,,,,-5,0,,,,-2,0,,,,-19,1,,,,1,1,,,,-4,1,6.0,30,30,30,
803819,8,2019-09-11,15:43:31,Soil,,8,No,,,PPM,,,,3932,136,,,,948,24,,,,5640,22,,,,315,5,,,,2,1,,,,-3,0,,,,-14,0,,,,57,1,,,,37,2,,,,-14,1,,,,-13,1,,,,-5,0,,,,24,1,,,,-1,0,,,,-2,0,,,,13,0,,,,5,1,,,,-1,1,,,,0,1,,,,0,0,,,,-3,1,,,,-1,1,,,,-0,2,,,,-31,3,,,,-6,3,,,,25,8,,,,7,16,,,,32,33,,,,-71,42,,,,93,90,,,,-16,5,,,,-13,1,,,,-4,0,,,,-2,0,,,,-16,1,,,,-5,1,,,,-0,1,7.0,30,30,30,
803819,9,2019-09-11,15:45:18,Soil,,9,No,,,PPM,,,,3663,131,,,,711,22,,,,4333,19,,,,249,5,,,,4,1,,,,-3,0,,,,-15,0,,,,36,1,,,,25,2,,,,-13,1,,,,-11,1,,,,-4,0,,,,14,1,,,,-1,0,,,,-2,0,,,,3,0,,,,1,1,,,,1,1,,,,-2,1,,,,-1,0,,,,-1,1,,,,-2,1,,,,-4,2,,,,-26,3,,,,0,3,,,,13,8,,,,-20,17,,,,-9,33,,,,-43,42,,,,-49,91,,,,-10,5,,,,-12,1,,,,-4,0,,,,-2,0,,,,-17,1,,,,-2,1,,,,-1,1,8.0,30,30,30,
803819,10,2019-09-11,15:47:06,Soil,,10,No,,,PPM,,,,3844,134,,,,949,24,,,,5298,22,,,,217,5,,,,0,1,,,,-3,0,,,,-16,0,,,,33,1,,,,34,2,,,,-12,1,,,,-13,1,,,,-1,1,,,,27,1,,,,-1,0,,,,-2,0,,,,13,0,,,,3,1,,,,-1,1,,,,-0,1,,,,-0,0,,,,-2,1,,,,-1,1,,,,-0,2,,,,-21,3,,,,-3,3,,,,12,8,,,,-18,17,,,,-40,33,,,,-54,42,,,,203,91,,,,2,6,,,,-12,1,,,,-5,0,,,,-2,0,,,,-16,1,,,,-4,1,,,,-1,1,9.0,30,30,30,
